user_id,first_purchase,last_purchase,frequency,transaction_lines,units,monetary,customer_aov,recency_days,r_score,f_score,m_score,fm_score,segment
1515915625245642977,2019-01-19 08:18:38+00:00,2021-11-30 13:11:26+00:00,777,1098,1098,462157.73,594.7975933075933,1,5,5,5,5,Champions
1515915625337818202,2019-09-14 12:20:11+00:00,2021-11-17 07:38:44+00:00,298,546,546,286039.63,959.8645302013423,15,5,5,5,5,Champions
1515915625368881731,2019-11-29 13:24:10+00:00,2021-10-09 13:02:39+00:00,559,730,730,272305.04,487.1288729874776,53,5,5,5,5,Champions
1515915625248999093,2019-01-13 10:17:11+00:00,2021-11-30 08:05:05+00:00,376,492,492,261451.42,695.3495212765957,2,5,5,5,5,Champions
1515915625078636725,2018-12-05 09:37:05+00:00,2021-11-30 10:13:52+00:00,448,519,519,255576.49,570.4832366071429,1,5,5,5,5,Champions
1515915625219296027,2019-01-22 10:48:17+00:00,2021-11-27 09:47:50+00:00,314,434,434,185446.59,590.5942356687898,5,5,5,5,5,Champions
1515915625193362756,2018-12-03 11:14:25+00:00,2021-11-30 12:23:53+00:00,330,410,410,173844.74,526.8022424242424,1,5,5,5,5,Champions
1515915625045119662,2019-01-29 11:40:12+00:00,2021-11-30 12:47:28+00:00,320,474,474,171404.09,535.63778125,1,5,5,5,5,Champions
1515915625450853094,2020-06-24 05:00:46+00:00,2021-03-03 04:02:44+00:00,288,410,410,168889.32,586.42125,274,2,5,5,5,At Risk
1515915625413944990,2020-06-04 07:14:57+00:00,2021-12-01 08:28:32+00:00,238,343,343,167337.41,703.0983613445378,1,5,5,5,5,Champions
1515915625323722153,2019-07-21 12:51:03+00:00,2021-08-11 16:18:55+00:00,265,370,370,167008.53,630.2208679245283,112,4,5,5,5,Champions
1515915625226850504,2018-12-17 15:06:55+00:00,2021-11-16 16:27:49+00:00,232,363,363,163654.42,705.4069827586208,15,5,5,5,5,Champions
1515915625349119823,2020-07-03 11:50:17+00:00,2021-09-29 12:44:04+00:00,218,361,361,160942.88,738.2700917431193,63,4,5,5,5,Champions
1515915625068700085,2018-12-06 16:29:24+00:00,2021-09-24 06:58:23+00:00,265,347,347,146620.38,553.2844528301887,69,4,5,5,5,Champions
1515915625433860532,2020-05-22 06:06:05+00:00,2021-11-30 07:23:51+00:00,203,357,357,145847.89,718.462512315271,2,5,5,5,5,Champions
1515915625311549113,2019-06-18 09:16:38+00:00,2021-05-22 15:43:35+00:00,255,350,350,145466.44,570.4566274509804,193,3,5,5,5,Loyal Customers
1515915625404872373,2020-01-27 09:54:57+00:00,2021-11-28 18:14:15+00:00,284,341,341,144937.51,510.3433450704226,3,5,5,5,5,Champions
1515915625212799174,2019-01-26 10:04:35+00:00,2021-11-30 11:32:23+00:00,211,287,287,133793.43,634.0920853080569,1,5,5,5,5,Champions
1515915625277246896,2019-04-02 08:12:16+00:00,2021-11-24 17:21:20+00:00,181,251,251,130565.0,721.353591160221,7,5,5,5,5,Champions
1515915625196556266,2019-01-14 14:33:17+00:00,2021-11-28 09:28:14+00:00,234,389,389,128271.23,548.1676495726496,4,5,5,5,5,Champions
1515915625431429460,2020-03-19 10:53:22+00:00,2021-11-30 07:11:24+00:00,203,277,277,127874.74,629.9248275862069,2,5,5,5,5,Champions
1515915625120688139,2019-01-24 15:49:32+00:00,2021-11-29 15:21:35+00:00,224,314,314,127302.21,568.3134375000001,2,5,5,5,5,Champions
1515915625194986513,2019-02-22 12:01:30+00:00,2021-11-30 17:55:49+00:00,230,275,275,127126.66,552.7246086956521,1,5,5,5,5,Champions
1515915625475923099,2020-06-19 11:25:55+00:00,2021-11-29 10:20:15+00:00,125,249,249,117990.24,943.92192,2,5,5,5,5,Champions
1515915625081825388,2018-12-03 09:48:34+00:00,2020-09-02 07:19:37+00:00,214,290,290,117590.94,549.4903738317757,456,1,5,5,5,At Risk
1515915625177317325,2019-01-20 10:09:30+00:00,2021-10-24 06:53:11+00:00,221,308,308,115381.28,522.0872398190045,39,5,5,5,5,Champions
1550612949079425642,2019-01-09 06:26:50+00:00,2021-12-01 05:32:29+00:00,187,233,233,114809.1,613.9524064171123,1,5,5,5,5,Champions
1515915625228430488,2019-03-10 13:46:22+00:00,2021-11-25 10:57:02+00:00,163,253,253,111483.84,683.9499386503068,6,5,5,5,5,Champions
1515915625216376356,2018-12-04 08:06:10+00:00,2021-11-10 10:06:11+00:00,311,358,358,100288.06999999999,322.4696784565916,21,5,5,5,5,Champions
1515915625535747924,2020-10-15 12:14:56+00:00,2021-07-21 07:14:01+00:00,284,302,302,98480.33,346.7617253521127,134,4,5,5,5,Champions
1515915625527077891,2020-10-18 08:26:10+00:00,2021-10-21 15:43:32+00:00,146,187,187,97025.08,664.5553424657535,41,5,5,5,5,Champions
1515915625417275628,2020-02-20 11:10:50+00:00,2021-09-14 11:21:41+00:00,165,206,206,93374.58,565.9065454545455,78,4,5,5,5,Champions
1515915625352072191,2019-10-19 14:35:06+00:00,2021-03-07 15:34:14+00:00,166,237,237,90437.37,544.8034337349397,269,3,5,5,5,Loyal Customers
1515915625386429646,2019-12-18 17:08:46+00:00,2021-01-03 07:23:17+00:00,146,172,172,83036.5,568.7431506849315,333,2,5,5,5,At Risk
1515915625297170983,2019-05-14 14:54:41+00:00,2021-08-26 10:35:55+00:00,122,161,161,79597.54,652.4388524590163,97,4,5,5,5,Champions
1515915625398823614,2020-09-05 09:23:09+00:00,2021-10-11 06:32:08+00:00,108,166,166,79214.24,733.4651851851852,52,5,5,5,5,Champions
1515915625667800965,2021-08-06 03:18:53+00:00,2021-11-19 05:57:02+00:00,108,169,169,78833.83,729.9428703703704,13,5,5,5,5,Champions
1515915625228923719,2019-01-16 08:24:29+00:00,2020-11-05 17:05:33+00:00,166,209,209,77884.74,469.1851807228916,391,1,5,5,5,At Risk
1515915625599337463,2021-02-01 09:13:02+00:00,2021-10-12 10:31:38+00:00,119,185,185,76630.74,643.9557983193278,50,5,5,5,5,Champions
1515915625358796710,2019-12-02 14:19:53+00:00,2021-10-20 14:27:40+00:00,104,179,179,76611.29,736.6470192307692,42,5,5,5,5,Champions
1515915625193656200,2019-01-14 16:27:48+00:00,2021-02-14 08:19:06+00:00,215,252,252,75850.44,352.79274418604655,291,2,5,5,5,At Risk
1515915625175584360,2019-08-02 15:37:21+00:00,2021-11-27 18:15:41+00:00,130,183,183,73850.08,568.0775384615384,4,5,5,5,5,Champions
1515915625208270362,2020-02-13 10:41:43+00:00,2021-05-08 12:14:15+00:00,100,140,140,72354.9,723.549,207,3,5,5,5,Loyal Customers
1515915625619493267,2021-03-23 08:55:44+00:00,2021-11-23 12:00:24+00:00,115,172,172,70714.58,614.9093913043479,8,5,5,5,5,Champions
1515915625493080963,2020-07-20 07:42:45+00:00,2021-04-21 15:54:52+00:00,123,166,166,68669.18,558.2860162601626,224,3,5,5,5,Loyal Customers
1515915625183593560,2019-01-28 10:59:10+00:00,2020-03-08 16:40:10+00:00,100,143,143,67547.23,675.4722999999999,633,1,5,5,5,At Risk
1515915625286856353,2019-04-27 15:04:50+00:00,2021-02-28 09:13:47+00:00,117,156,156,66893.37,571.7382051282051,277,2,5,5,5,At Risk
1515915625172566334,2020-08-22 10:10:47+00:00,2021-11-27 17:51:38+00:00,128,207,207,66323.07,518.148984375,4,5,5,5,5,Champions
