category_name,transaction_lines,units,orders,customers,revenue,avg_item_price,revenue_share_pct
Earring,29052,29052,24972,14019,11512213.58,396.2623426958557,34.696949581531186
Ring,28300,28300,22921,10522,10364450.88,366.23501342756185,31.2376787595715
Unknown,15285,15285,13347,6573,4759658.1,311.3940529931305,14.345253063053972
Bracelet,6188,6188,5529,3274,3056475.12,493.93586296056884,9.211987112546648
Pendant,13088,13088,11636,7333,2200662.97,168.14356433374084,6.632633384137813
Necklace,2361,2361,2173,1399,915307.77,387.6780050825921,2.7586690714674655
Brooch,1288,1288,1210,923,289639.41,224.87531832298134,0.8729514906719129
Clocks,167,167,152,105,71032.78,425.3459880239521,0.21408747928180785
Souvenir,170,170,162,128,6255.0599999999995,36.79447058823529,0.018852282399146776
Stud,12,12,9,8,3629.08,302.42333333333335,0.01093777533854121
