gem,transaction_lines,units,orders,customers,revenue,avg_item_price,revenue_share_pct
diamond,29610,29610,24340,11958,14866978.68,502.09316717325225,44.80796035488938
Unknown,34058,34058,27915,13542,8374158.89,245.87934963885135,25.23908775449084
topaz,6318,6318,5448,3538,2186230.22,346.0320069642292,6.5891341565051
fianit,12051,12051,10609,6986,2158198.6,179.0887561198241,6.504648953110475
mix,1479,1479,1358,919,1316185.4,889.915753887762,3.9668842265995785
pearl,3632,3632,3007,1964,1181007.86,325.1673623348018,3.5594692444727953
garnet,2704,2704,2264,1525,1019846.3099999999,377.1620968934911,3.0737404021460684
amethyst,1632,1632,1398,990,594561.0,364.31433823529414,1.7919623273828078
sapphire,1866,1866,1671,1195,593569.9,318.0974812433012,1.7889752262061933
emerald,833,833,757,555,346453.4,415.9104441776711,1.0441846017375627
quartz,540,540,430,317,191609.25,354.83194444444445,0.5774959299013462
amber,228,228,185,146,69097.35,303.05855263157895,0.208254238205978
ruby,151,151,140,122,51311.38,339.8104635761589,0.1546486566155931
sitall,44,44,38,35,42157.57,958.1265909090909,0.12705975880356032
quartz_smoky,93,93,80,68,31569.25,339.4543010752688,0.09514735528184612
nanocrystal,88,88,75,60,27791.57,315.8132954545454,0.08376171067194488
rhodolite,18,18,17,13,24288.3,1349.35,0.07320311725150463
nacre,78,78,75,66,19247.43,246.76192307692307,0.058010312581783324
agate,24,24,21,21,15994.14,666.4225,0.04820514016036448
tourmaline,50,50,48,40,12758.949999999999,255.17899999999997,0.03845451978343833
chrysolite,74,74,74,63,11820.59,159.7377027027027,0.035626373017130196
corundum_synthetic,41,41,40,33,11618.630000000001,283.3812195121952,0.035017680701895544
citrine,51,51,49,43,8395.81,164.62372549019608,0.02530434257858126
spinel,156,156,144,119,8350.43,53.52839743589744,0.025167570657085178
turquoise,22,22,20,19,6502.74,295.5790909090909,0.019598771370414943
onyx,6,6,6,6,2597.13,432.855,0.007827555321179343
garnet_synthetic,6,6,6,5,2273.14,378.8566666666666,0.006851073724759874
coral,41,41,36,32,1687.72,41.16390243902439,0.005086661686808439
emerald_geothermal,9,9,8,8,1343.22,149.24666666666667,0.004048364486380935
chrysoprase,6,6,6,6,1254.41,209.06833333333336,0.0037806977973534562
sapphire_geothermal,2,2,2,2,465.48,232.74,0.0014029218602467188
