year_month,revenue,orders,customers,units,average_order_value,mom_revenue_pct
2018-12,33935.77,104,66,122,326.3054807692307,
2019-01,191702.03,444,207,567,431.7613288288288,464.8966562420715
2019-02,249742.51,608,281,802,410.7607072368421,30.276403437146705
2019-03,222985.09,532,285,644,419.1449060150376,-10.714002994524241
2019-04,233055.65,494,242,678,471.77257085020244,4.51624814914755
2019-05,217087.73,503,248,672,431.58594433399605,-6.851548117370243
2019-06,241016.11,525,232,669,459.07830476190475,11.022447007944658
2019-07,337741.78,756,337,976,446.7483862433863,40.132450067341985
2019-08,411417.83,791,329,1061,520.1236788874842,21.81431328987489
2019-09,254765.36,572,266,780,445.39398601398597,-38.0762472059123
2019-10,498788.46,1003,504,1515,497.2965702891326,95.7834691498091
2019-11,711273.03,1222,617,1826,582.0564893617021,42.60013754127352
2019-12,743424.19,1414,752,1911,525.7596817538896,4.520227626232343
2020-01,582777.6,1321,663,1819,441.16396669190004,-21.60900763802157
2020-02,695351.93,1357,632,1840,512.4185187914518,19.316859467488136
2020-03,633830.55,1198,626,1691,529.0739148580968,-8.847516968853453
2020-04,171916.9,505,369,604,340.429504950495,-72.87652038861175
2020-05,183749.06,433,322,604,424.36272517321015,6.882487992745334
2020-06,467370.24,943,416,1257,495.62061505832446,154.35245219757857
2020-07,772350.87,1475,570,2023,523.6277084745763,65.25461056313726
2020-08,1032363.93,2085,802,2861,495.13857553956836,33.6651475513972
2020-09,860024.52,1730,837,2256,497.124,-16.69366828808132
2020-10,820156.8,1768,887,2340,463.889592760181,-4.6356492254430055
2020-11,829493.88,1899,1099,2440,436.80562401263825,1.1384505987147797
2020-12,2291226.59,6096,4386,7411,375.8573802493438,176.21983057909964
2021-01,1178859.37,2928,2107,3597,402.6159050546448,-48.5489835381144
2021-02,1094502.37,2860,2086,3466,382.6931363636364,-7.155815370920793
2021-03,1468693.48,3756,2637,4593,391.02595314164006,34.188241182154755
2021-04,1367013.87,2990,1908,3861,457.1952742474917,-6.9231334777900555
2021-05,1367343.01,3141,1903,4086,435.3209200891436,0.024077297767277628
2021-06,1342212.32,3194,1916,4114,420.2292798998122,-1.8379214151977852
2021-07,1581909.92,3589,2257,4644,440.76620785734184,17.85839665068787
2021-08,2819855.12,5998,2985,7608,470.1325641880627,78.2563649389088
2021-09,1905201.23,4301,2258,5395,442.9670378981632,-32.43620154499285
2021-10,1593984.26,3673,2143,4569,433.9733895997822,-16.335123298235533
2021-11,3711810.18,8401,5017,10432,441.82956552791336,132.86366579303612
2021-12,60391.21,151,118,177,399.9417880794702,-98.37299842741419
